Unnamed: 0,Modelo,p_físico,Distancia,Condición,N_clusters,N_semillas,N_corridas,F1_medio,F1_std,F1_IC95_inf,F1_IC95_sup,IoU_medio,IoU_std,IoU_IC95_inf,IoU_IC95_sup,Balanced_accuracy_medio,Balanced_accuracy_std,Balanced_accuracy_IC95_inf,Balanced_accuracy_IC95_sup,Precision_medio,Precision_std,Precision_IC95_inf,Precision_IC95_sup,Recall_medio,Recall_std,Recall_IC95_inf,Recall_IC95_sup,AUC_medio,AUC_std,AUC_IC95_inf,AUC_IC95_sup,AUC_PR_medio,AUC_PR_std,AUC_PR_IC95_inf,AUC_PR_IC95_sup
0,CA,0.100%,3,Código de superficie + MWPM,30,5,6,0.226,0.116,0.185,0.268,0.137,0.072,0.111,0.162,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.252,0.111,0.213,0.292
1,CA,0.100%,3,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
2,CA,0.100%,3,Mismo circuito sin decodificación,30,5,6,0.229,0.116,0.188,0.271,0.139,0.072,0.113,0.164,0.77,0.137,0.721,0.819,0.149,0.077,0.121,0.176,0.575,0.279,0.475,0.675,0.971,0.006,0.969,0.973,0.253,0.112,0.213,0.293
3,CA,0.100%,5,Código de superficie + MWPM,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
4,CA,0.100%,5,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
5,CA,0.100%,5,Mismo circuito sin decodificación,30,5,6,0.226,0.115,0.184,0.267,0.137,0.071,0.111,0.162,0.756,0.133,0.709,0.804,0.149,0.077,0.121,0.176,0.546,0.272,0.449,0.644,0.97,0.007,0.968,0.973,0.256,0.108,0.217,0.294
6,CA,0.100%,7,Código de superficie + MWPM,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
7,CA,0.100%,7,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
8,CA,0.100%,7,Mismo circuito sin decodificación,30,5,6,0.229,0.104,0.192,0.266,0.139,0.064,0.116,0.162,0.762,0.122,0.718,0.805,0.152,0.071,0.126,0.177,0.556,0.247,0.467,0.644,0.972,0.007,0.97,0.975,0.26,0.1,0.225,0.296
9,CA,0.600%,3,Código de superficie + MWPM,30,5,6,0.227,0.114,0.186,0.268,0.137,0.07,0.112,0.162,0.767,0.135,0.719,0.815,0.147,0.075,0.12,0.174,0.568,0.275,0.47,0.667,0.971,0.006,0.969,0.973,0.253,0.108,0.214,0.292
10,CA,0.600%,3,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
11,CA,0.600%,3,Mismo circuito sin decodificación,30,5,6,0.221,0.113,0.181,0.261,0.134,0.069,0.109,0.159,0.744,0.125,0.699,0.788,0.147,0.077,0.119,0.175,0.519,0.254,0.428,0.61,0.971,0.006,0.968,0.973,0.252,0.11,0.213,0.292
12,CA,0.600%,5,Código de superficie + MWPM,30,5,6,0.221,0.118,0.179,0.263,0.134,0.073,0.107,0.16,0.76,0.136,0.712,0.809,0.143,0.078,0.115,0.171,0.555,0.278,0.456,0.654,0.971,0.006,0.969,0.973,0.253,0.112,0.213,0.293
13,CA,0.600%,5,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
14,CA,0.600%,5,Mismo circuito sin decodificación,30,5,6,0.22,0.111,0.18,0.26,0.136,0.07,0.111,0.161,0.711,0.115,0.67,0.752,0.154,0.08,0.125,0.183,0.448,0.235,0.364,0.532,0.971,0.006,0.969,0.973,0.255,0.099,0.22,0.291
15,CA,0.600%,7,Código de superficie + MWPM,30,5,6,0.226,0.116,0.185,0.267,0.137,0.071,0.111,0.162,0.764,0.136,0.716,0.813,0.147,0.077,0.119,0.174,0.563,0.277,0.464,0.662,0.971,0.007,0.968,0.973,0.252,0.112,0.212,0.292
16,CA,0.600%,7,Ideal cuantizada,30,5,6,0.227,0.116,0.185,0.268,0.137,0.072,0.111,0.163,0.772,0.138,0.723,0.822,0.146,0.077,0.118,0.173,0.579,0.283,0.478,0.681,0.971,0.006,0.969,0.973,0.253,0.111,0.213,0.292
